Date,Description,Withdrawals,Deposits,Balance
4/8/18,ERENTERPLAN9882 INSURA    888-205-8118 CA,$18.41 ,,
4/6/18,ONLINE CREDIT CARD PMT 04/06 XXXX3466,,$40.26 ,
3/31/18,ONLINE CREDIT CARD PMT 03/31 XXXX3466,,$695.07 ,
3/31/18,EXXONMOBIL    47791041    RICHMOND VA,$29.99 ,,
3/31/18,DIGITALOCEAN.COM          DIGITALOCEAN. NY,$10.27 ,,
3/28/18,THE FRESH MARKET I        RICHMOND VA,$33.10 ,,
3/28/18,SQ *CHRISTOPHER FLOWERS G877-417-4551 VA,$14.49 ,,
3/28/18,PAPER SOURCE CARY         RICHMOND VA,$5.21 ,,
3/27/18,DELTA AIR   0067106486066BELLEVUE WA,$334.40 ,,
3/27/18,ONLINE CREDIT CARD PMT 03/27 XXXX3466,,$303.73 ,
3/27/18,DELTA AIR   0067106460869BELLEVUE WA,$241.60 ,,
3/27/18,DELTA AIR   0067106460870BELLEVUE WA,$241.60 ,,
3/24/18,PAPER SOURCE CARY         RICHMOND VA,$35.95 ,,
3/24/18,FOR THE LOVE OF CHOCOLAT  RICHMOND VA,$11.85 ,,
3/24/18,PAPER SOURCE CARY         RICHMOND VA,$4.38 ,,
3/23/18,GOOGLE *PROJECT FI        g.co/helppay# CA,$143.39 ,,
3/21/18,EXXONMOBIL    47616495    RICHMOND VA,$35.78 ,,
3/19/18,COMCAST                   800-COMCAST MD,$72.38 ,,
3/18/18,ONLINE CREDIT CARD PMT 03/18 XXXX3466,,$214.41 ,
3/11/18,WAWA STORE 86300086306    HENRICO VA,$30.41 ,,
3/10/18,VETERINARY EMERGENCY AND  804-3539000 VA,$184.00 ,,
3/10/18,CASHBUILDER REW CREDIT,,$175.33 ,
3/10/18,ONLINE CREDIT CARD PMT 03/10 XXXX3466,,$159.98 ,
3/8/18,ERENTERPLAN9882 INSURA    888-205-8118 CA,$18.41 ,,
3/5/18,SPDPAY/RICHMONDPU         804-644-3000 VA,$56.03 ,,
3/2/18,ONLINE CREDIT CARD PMT 03/02 XXXX3466,,$363.20 ,
3/2/18,TARGET        00010496    GLEN ALLEN VA,$45.27 ,,
3/2/18,SQ *FIG TREE THERAP       415-375-3176 VA,$30.00 ,,
2/28/18,DIGITALOCEAN.COM          DIGITALOCEAN. NY,$10.27 ,,
2/26/18,RVA BREW TOUR             STRIPE.COM CA,$214.00 ,,
