Date,Description,Withdrawals,Deposits,Balance,Category
12/29/17,ONLINE TRANSFER TO        XXXXX5146 ,$697.47 ,,"$12,165.21 ",Bank Transfer
12/29/17,POS PURCHASE          POS47797501  1305717 FARM FRESH               RICHMOND     VA,$6.58 ,,"$12,862.68 ",Food / Groceries
12/29/17,DEBIT CARD PURCHASE   XXXXX9460 DETROIT 0178 D ECONOMI    ROMULUS     MI,$7.98 ,,"$12,869.26 ",Transportation / Travel
12/29/17,DEBIT CARD PURCHASE   XXXXX9460 BIGALORA - 103            DETROIT     MI,$32.09 ,,"$12,877.24 ",Transportation / Travel
12/29/17,DEBIT CARD PURCHASE   XXXXX9460 DELTA AIR   Baggage Fe    DETROIT     MI,$25.00 ,,"$12,909.33 ",Transportation / Travel
12/29/17,ACH CREDIT      XXXXX4032AEA PAPER SOURCE     DIRECT DEP,,$697.47 ,"$12,934.33 ",Paycheck
12/28/17,ONLINE TRANSFER TO        XXXXX5146 ,$95.00 ,,"$12,236.86 ",Bank Transfer
12/28/17,ONLINE TRANSFER TO        XXXXX5146 ,$536.42 ,,"$12,331.86 ",Bank Transfer
12/28/17,DEBIT CARD PURCHASE   XXXXX9460 SOUTHGATE DIGITAL CIN     SOUTHGATE   MI,$28.00 ,,"$12,868.28 ",Fun
12/27/17,DEBIT CARD PURCHASE   XXXXX9460 SYMON RENTAL              WYANDOTTE   MI,$6.70 ,,"$12,896.28 ",Uncategorized
12/27/17,DEBIT CARD PURCHASE   XXXXX9460 C.J.'S VILLAGE CAFE       LAKEORIAN   MI,$45.00 ,,"$12,902.98 ",Food / On the Go
12/26/17,CHECK                  165           090300974 ,$55.00 ,,"$12,947.98 ",Uncategorized
12/26/17,ONLINE TRANSFER FROM      XXXXX5154 ,,"$10,400.00 ","$13,002.98 ",Bank Transfer
12/22/17,DEBIT CARD PURCHASE   XXXXX9460 MCDONALD'S F22006         DETROIT     MI,$13.01 ,,"$2,602.98 ",Transportation / Travel
12/22/17,ACH CREDIT      XXXXX9268 CARMAX AUTO SUPE PAYROLL,,"$2,531.28 ","$2,615.99 ",Paycheck
12/21/17,DEBIT CARD PURCHASE   XXXXX1923 SUBWAY        03470572    RICHMOND    VA,$25.11 ,,$84.71 ,Food / On the Go
12/21/17,DEBIT CARD PURCHASE   XXXXX9460 SOUTHERN RAILWAY TAPHO    XXXXX8350 VA,$12.00 ,,$109.82 ,Food / On the Go
12/20/17,CHECK                  163           095335384 ,$15.00 ,,$121.82 ,Uncategorized
12/20/17,N1220 9460 PAYMENT    POS003       1344987 NETFLIX COM              LOS GATOS    CA,$10.99 ,,$136.82 ,Uncategorized
12/20/17,POS PURCHASE          POS47797501  1344986 FARM FRESH               RICHMOND     VA,$15.43 ,,$147.81 ,Food / Groceries
12/20/17,DEBIT CARD PURCHASE   XXXXX1923 PARK N GO VIRGINIA        SANDSTON    VA,$26.36 ,,$163.24 ,Transportation / Travel
12/20/17,DEBIT CARD PURCHASE   XXXXX9460 CHICK-FIL-A  #01022       SMITHFIELD  NC,$3.51 ,,$189.60 ,Food / On the Go
12/20/17,DEBIT CARD PURCHASE   XXXXX9460 CHICK-FIL-A  #01022       SMITHFIELD  NC,$9.11 ,,$193.11 ,Food / On the Go
12/20/17,DEBIT CARD PURCHASE   XXXXX9460 MCDONALD'S F7004          ST AUGUSTIN FL,$10.51 ,,$202.22 ,Bank Transfer
12/20/17,ONLINE TRANSFER FROM      XXXXX5146 ,,$9.00 ,$212.73 ,Bank Transfer
12/19/17,POS PURCHASE          POS4367CL01  1361808 THE GOOD LEAF            RICHMOND     VA,$6.63 ,,$203.73 ,Food / On the Go
12/19/17,POS PURCHASE          POS01507501  1300422 WAWA 8605                SANDSTON     VA,$8.04 ,,$210.36 ,Food / On the Go
12/19/17,POS PURCHASE          POS33561401  1300423 SHELL SERVICE            SELMA        NC,$44.89 ,,$218.40 ,Transportation / Gas & Fuel
12/19/17,DEBIT CARD PURCHASE   XXXXX1923 MCDONALD'S F5169          RICHMOND HI GA,$1.70 ,,$263.29 ,Food / On the Go
12/19/17,DEBIT CARD PURCHASE   XXXXX9460 MCDONALD'S F5169          RICHMOND HI GA,$2.14 ,,$264.99 ,Food / On the Go
12/19/17,ONLINE TRANSFER FROM      XXXXX5146 ,,$6.00 ,$267.13 ,Bank Transfer
12/19/17,ONLINE TRANSFER FROM      XXXXX5146 ,,$27.00 ,$261.13 ,Bank Transfer
12/18/17,POS PURCHASE          POS27644801  4712829 SUNOCO 0289955           ORMOND BEACH FL,$1.49 ,,$234.13 ,Food / On the Go
12/18/17,POS PURCHASE          POS27644801  4494349 SUNOCO 0289955           ORMOND BEACH FL,$15.69 ,,$235.62 ,Food / On the Go
12/18/17,POS PURCHASE          POS41732401  4494348 SUNOCO 0613264           SEBASTIAN    FL,$8.03 ,,$251.31 ,Food / On the Go
12/18/17,ONLINE TRANSFER TO        XXXXX5146 ,$123.00 ,,$259.34 ,Bank Transfer
12/18/17,ONLINE TRANSFER TO        XXXXX5146 ,$516.00 ,,$382.34 ,Bank Transfer
12/18/17,POS PURCHASE          POS99999999  4712828 PUBLIX SUPER M           VERO BEACH   FL,$33.74 ,,$898.34 ,Food / Groceries
12/18/17,DEBIT CARD PURCHASE   XXXXX9460 the 905 cafe              melbourne   FL,$17.12 ,,$932.08 ,Food / On the Go
12/18/17,DEBIT CARD PURCHASE   XXXXX9460 HOLLYWOOD POPCORN -       LAKE BUENA  FL,$6.00 ,,$949.20 ,Fun
12/18/17,DEBIT CARD PURCHASE   XXXXX9460 ROSIE'S ALL-AMERICA       LAKE BUENA  FL,$23.20 ,,$955.20 ,Food / On the Go
12/18/17,DEBIT CARD PURCHASE   XXXXX1923 STARBUCKS STORE 11906     ORLANDO     FL,$6.95 ,,$978.40 ,Food / On the Go
12/18/17,DEBIT CARD PURCHASE   XXXXX9460 STARBUCKS STORE 11906     ORLANDO     FL,$4.74 ,,$985.35 ,Food / On the Go
12/18/17,POS PURCHASE          POS99999999  4712830 TARGET T-0649            ORLANDO      FL,$7.45 ,,$990.09 ,Personal / Home & Hygiene
12/18/17,DEBIT CARD PURCHASE   XXXXX9460 SQ *GIDEON'S BAKEHO       WINTER PARK FL,$4.26 ,,$997.54 ,Food / On the Go
12/18/17,DEBIT CARD PURCHASE   XXXXX9460 SQ *HOUNDSTOOTH SAUCE     Winter Park FL,$13.48 ,,"$1,001.80 ",Food / On the Go
12/18/17,DEBIT CARD PURCHASE   XXXXX9460 STARBUCKS STORE 24718     ORLANDO     FL,$5.28 ,,"$1,015.28 ",Food / On the Go
12/18/17,DEBIT CARD PURCHASE   XXXXX1923 FRESH TO ORDER            ATLANTA     GA,$10.57 ,,"$1,020.56 ",Food / On the Go
12/18/17,DEBIT CARD PURCHASE   XXXXX9460 FRESHENS YOGURT & SMOO    ATLANTA     GA,$16.82 ,,"$1,031.13 ",Food / On the Go
12/15/17,POS PURCHASE          POS99999999  1540308 WALGREENS STOR           ORLANDO      FL,$10.21 ,,"$1,047.95 ",Personal / Home & Hygiene
12/15/17,DEBIT CARD PURCHASE   XXXXX1923 407 CAFE                  ORLANDO     FL,$2.76 ,,"$1,058.16 ",Food / On the Go
12/15/17,POS PURCHASE          POS42355001  1540307 T.J. MAXX #149           ORLANDO      FL,$28.71 ,,"$1,060.92 ",Personal / Clothes
12/15/17,DEBIT CARD PURCHASE   XXXXX9460 RICHMOND AIRPORT          RICHMOND    VA,$21.46 ,,"$1,089.63 ",Transportation / Travel
12/15/17,DEBIT CARD PURCHASE   XXXXX9460 STARBUCKS OMNI RICHMON    RICHMOND    VA,$4.74 ,,"$1,111.09 ",Food / On the Go
12/15/17,DEBIT CARD PURCHASE   XXXXX1923 WEEZIES KITCHEN          XXXXX1270 VA,$14.52 ,,"$1,115.83 ",Food / On the Go
12/15/17,ACH CREDIT      XXXXX2079AEA PAPER SOURCE     DIRECT DEP,,$661.20 ,"$1,130.35 ",Transportation / Travel
12/14/17,POS PURCHASE          POS99999999  1175647 CRACKER BARREL           RICHMOND     VA,$24.08 ,,$469.15 ,Food / On the Go
12/13/17,POS PURCHASE          POS105       1192017 THE UPS STORE            RICHMOND     VA,$11.80 ,,$493.23 ,Uncategorized
12/13/17,DEBIT CARD PURCHASE   XXXXX9460 INSOMNIA COOKIES - RIC    RICHMOND    VA,$13.48 ,,$505.03 ,Food / On the Go
12/12/17,CHECK                  162           089725121 ,$642.00 ,,$518.51 ,Uncategorized
12/12/17,ACH DEBIT       XXXXX7606 DOMINION ENERGY  ELEC BILL,$55.48 ,,"$1,160.51 ",Utilities / Electric
12/12/17,DEBIT CARD PURCHASE   XXXXX9460 THE MILL ON MACARTHU      XXXXX1196 VA,$30.00 ,,"$1,215.99 ",Food / On the Go
12/12/17,ONLINE TRANSFER FROM      XXXXX5146 ,,$91.77 ,"$1,245.99 ",Bank Transfer
12/11/17,POS PURCHASE          POS47797501  4299110 FARM FRESH               RICHMOND     VA,$32.30 ,,"$1,154.22 ",Food / Groceries
12/11/17,DEBIT CARD PURCHASE   XXXXX1923 SMOOTHIE KING #446        RICHMOND    VA,$5.51 ,,"$1,186.52 ",Food / On the Go
12/11/17,POS PURCHASE          POS09126387  4299108 PAPER SOURCE C           RICHMOND     VA,$33.70 ,,"$1,192.03 ",Paycheck
12/11/17,DEBIT CARD PURCHASE   XXXXX9460 MICROSOFT   STORE        XXXXX7676 WA,$34.99 ,,"$1,225.73 ",Fun
12/11/17,POS PURCHASE          POS47797501  4299109 FARM FRESH               RICHMOND     VA,$24.28 ,,"$1,260.72 ",Food / Groceries
12/11/17,ONLINE TRANSFER TO        XXXXX5146 ,"$1,955.27 ",,"$1,285.00 ",Bank Transfer
12/11/17,ONLINE TRANSFER TO        XXXXX5154 ,$358.00 ,,"$3,240.27 ",Bank Transfer
12/11/17,DEBIT CARD PURCHASE   XXXXX1923 SUBWAY        03058112    RICHMOND    VA,$21.33 ,,"$3,598.27 ",Food / On the Go
12/11/17,ONLINE TRANSFER FROM      XXXXX5154 ,,"$1,000.00 ","$3,619.60 ",Bank Transfer
12/8/17,POS PURCHASE          POS47797501  1447006 FARM FRESH               RICHMOND     VA,$16.90 ,,"$2,619.60 ",Food / Groceries
12/8/17,POS PURCHASE          POS47797501  1381691 FARM FRESH               RICHMOND     VA,$7.56 ,,"$2,636.50 ",Food / Groceries
12/8/17,DEBIT CARD PURCHASE   XXXXX9460 23RD AND MAIN             RICHMOND    VA,$35.00 ,,"$2,644.06 ",Food / On the Go
12/8/17,DEBIT CARD PURCHASE   XXXXX1923 ADOBE PHOTOGPHY PLAN     XXXXX6687 CA,$9.99 ,,"$2,679.06 ",Uncategorized
12/8/17,ACH CREDIT      XXXXX9268 CARMAX AUTO SUPE PAYROLL,,"$2,572.26 ","$2,689.05 ",Paycheck
12/7/17,DEBIT CARD PURCHASE   XXXXX9460 CHICK-FIL-A #03685        RICHMOND    VA,$6.00 ,,$116.79 ,Food / On the Go
12/7/17,DEBIT CARD PURCHASE   XXXXX9460 CHICK-FIL-A #03685        RICHMOND    VA,$14.50 ,,$122.79 ,Food / On the Go
12/7/17,DEBIT CARD PURCHASE   XXXXX1923 SUBWAY        03470572    RICHMOND    VA,$1.54 ,,$137.29 ,Food / On the Go
12/7/17,DEBIT CARD PURCHASE   XXXXX1923 SUBWAY        03470572    RICHMOND    VA,$16.88 ,,$138.83 ,Food / On the Go
